09:40 | 9 | 10,1,5,7,4,7,7,8,8
15:17 | 11 | 5,4,5,3,5
08:47 | 9 | 10,6,2,5,3,8,2,7,8,8,2,7,1,10,1,1,6,6,10,7,6,9
13:38 | 10 | 6,4,9,8,7,1,5,10,6,9,6,10,7,3,9,9,1,3,8,4,4,3
13:25 | 5 | 8,8,1,9,1,4,5,4,4,8,5,7,8,5,8,8,4,7,10,2,5
13:07 | 7 | 6,8,9,5,10,7,5,9,7,6,7,7,8,9,5,7,2,9,8,8
09:22 | 11 | 3,7,5,10,1,8,10,7,10,1,1,5,1,6,2,2,6,1,10,9
12:42 | 11 | 6,10,3,6,9,6,3,1,6
11:57 | 7 | 7,8,7,9,7
09:31 | 14 | 1,3,1,1,4,7,1,6,5,4,10,8,8,5,4,8,7,10
14:41 | 9 | 5,3,3,1,3,10,8,1,1,10,4,8,6,9,1,3,6,6
09:18 | 14 | 3,8,7,7,5,7,1,2,6
14:14 | 12 | 3,2,6,6,2,10,10,4,6,3,4,9,8,7,3,9,4,2,2,10,8
13:30 | 6 | 6,4,7,7,7,3,6,3,5,4,5,8,10,1,7,1,7,4,7,5,7,3,5,1
14:49 | 7 | 10,3,8,5,6,7,6,4,8,10,7,4,9,1,10,7,9,1,8,3,3,9,2,9
09:40 | 13 | 9,6,2,8,3,8,2,5,1,4,3,4,8
13:05 | 6 | 1,4,4,4,9,3,8,9,9,4,3,5,10
09:55 | 12 | 8,5,5,8,7
09:39 | 5 | 8,4,10,7,10,8,1,10,8
12:03 | 13 | 2,4,3,6,8,5,7,2,10,7,2,4,6,6,3,4,7,6,10
08:57 | 12 | 9,5,9,5,5,6,2
12:54 | 8 | 4,1,10,7,9,4,8,2,8,3,2,9,10
14:49 | 13 | 7,8,1,6,4,1,7,5,1,2,8,1,10,3,4,2,2,4,8,8,1,2
08:41 | 8 | 8,7,1,10,1,4,10
10:26 | 8 | 8,1,3,3,10,4,6,4,2,4,10
09:10 | 6 | 5,9,10,8,5,9,7,7,8,10,8,2,10,2,4,8,2,6,6,9,3
13:15 | 6 | 3,10,7,10,1,1,9,5,1,9
08:21 | 12 | 2,7,2,4,2,10,2,10,8,5,10,7,7,4,5,8
13:30 | 14 | 10,2,7,6,7,4,6,9,2,6,8,8,3,8,6,3,3,7,9,10,6,6
15:09 | 8 | 9,9,5,5,9,10,9,3,8,8,1,4,2,6,2
09:55 | 6 | 4,4,1,10,8,4,7,7
10:27 | 10 | 4,3,3,5,2,9,4,5,8,2
08:41 | 12 | 7,10,7,2,6,7
12:20 | 6 | 9,6,10,8,1,6,8,4,9,5,2,7,4,2,4,5,7,1,4,1
10:46 | 11 | 10,6,6,7,5,8,1,6,3,4,1,10,9,6,8,3
11:41 | 9 | 4,6,4,10,8,5,7,3,8,10,7,10,9,7,4,3,6,7,10,8,2,2,3,6
09:06 | 14 | 7,9,10,10,3,5,10,9,10,4,5,3,4,3,6,2,7
15:24 | 5 | 8,9,2,9,8,10,4,7,1,8,3,5,9,3,6,3,8,6,6
15:32 | 12 | 3,1,9,10,6,6,10,8,1,8,1,5,10
14:11 | 13 | 3,9,9,8,6,8,8,9,3,9
09:02 | 9 | 2,9,7,3,4,8,1
11:29 | 6 | 1,2,5,1,7,7
14:52 | 11 | 3,4,6,7,6,1,2,4,3,9,7,7,10,10,3,8,5,6,8,2,1
15:57 | 12 | 7,5,1,10,1,5,2,1,2,1
15:47 | 8 | 8,4,10,6,2,10,1,8,1,4,2,1,10,10,8,8,3,8,10,6,9,1
11:46 | 7 | 4,8,10,3,8,1
15:25 | 13 | 9,10,4,10,8,2,1
10:28 | 8 | 1,3,7,5,5,4,4,6,6,1,10,7,9,8,10
10:00 | 5 | 10,5,1,3,4,4,3,5,8,1
15:03 | 11 | 2,10,4,1,9,4,8,8,7,6
09:53 | 14 | 8,5,9,4,1,4,2,2,5,9,5
12:15 | 5 | 7,10,4,1,10,10,4,3,4,9,4,5
10:32 | 7 | 3,8,4,7,1,3,2
14:03 | 9 | 6,6,4,10,5,10,1,10,1,8,1,6,5,2,8,10
13:36 | 6 | 1,8,5,7,4,4,8,7,1,10,10,10,9,8,10,8,7,6,2,6,8,8,4,10
09:06 | 9 | 5,7,10,2,1,9,9,10,2,5,3,8,2,10,1,9,10,6,1,8,1,10,10,2
12:42 | 14 | 2,4,8,3,3,5,8,4,9,7,1,7,8,9,1,8,8,7
10:06 | 9 | 4,3,4,9,5,5,1,2,8,7,4,2,6,9,3,6,10,2,7,5,2,5
11:50 | 11 | 4,2,10,2,2,4,8,5,4,4,6,2,4
12:36 | 7 | 8,4,1,1,7,5,5,6,10,8,6,7,3,8,1,10
15:56 | 7 | 5,4,5,2,4,1,8,6,3,1,4,9,6,8,10,3,7,9,6
13:37 | 13 | 7,4,3,6,10,7,1,9,4,4,6,4,9,6,2,2,3,2,6,4,9
12:08 | 12 | 5,8,10,9,7,1,5,9,6,2,2,7,4,10,3,8
13:10 | 10 | 4,3,8,2,8,1,7,4,9,7,3,2
10:36 | 12 | 4,5,4,1,7,2,5,10,8,5,1,3,2,1
12:19 | 13 | 4,10,9,8,3,4,10,8,4,6,4,9,6,4,10,1,6
08:34 | 11 | 10,1,4,8,4,3,9,6,4,10,10,5,2,8,9,7,2,3,6,7,1,5,8
10:12 | 12 | 8,1,5,3,3,7,8,2,4,7,3,1
12:56 | 13 | 10,8,1,8,6,2
12:01 | 6 | 4,1,9,9,1
12:15 | 13 | 4,3,4,4,9,9,1,6
10:12 | 8 | 7,4,2,10,6,6,2
09:20 | 7 | 9,2,10,7,5,2
15:02 | 12 | 1,4,6,7,6,10
09:45 | 11 | 6,9,5,3,4,4,8,2,6,4,2,7,1,5,8
11:28 | 11 | 5,5,6,9,5,2,2,3,8,3,1,8,2,7,8,9,1,9,6
11:45 | 11 | 8,9,5,10,10,6,7,5,1,3,1
11:04 | 5 | 4,10,4,10,1,9
15:55 | 9 | 5,6,10,6,5,3,3,1,4,10,9,3,8,7,8,7,7,3,6,8,7,9
11:24 | 9 | 3,9,6,10,1
11:58 | 12 | 4,6,10,2,1,5,4,4,3,2,6,2,4,8,10,2,2,10,9,1,3
08:00 | 9 | 4,4,3,10,6,8,9,1,3,8,8,9,1,4
12:46 | 8 | 1,9,6,3,8,4,6,7,6,4,3,9,6,5,2,10,1,4,5,2,6
09:22 | 14 | 7,7,2,6,2,2,9,2,1,7,5,3,10,3
08:21 | 14 | 1,9,9,6,1,8,1,7,4,9,9,6,6,10,4,5,8,3,3
