0, 30, 0, 30
5, 35, 5, 35
0, 20, 0, 20
7, 27, 7, 27
0, 10, 0, 10
9, 19, 9, 19
4, 24, 36, 18
9, 4, 9, 10
5, 30, 39, 30
15, 16, 23, 7
1, 27, 31, 35
29, 36, 22, 34
5, 32, 31, 3
23, 27, 11, 29
12, 26, 7, 16
2, 33, 5, 34
4, 34, 3, 20
38, 6, 16, 1
29, 24, 7, 14
21, 13, 19, 11
30, 36, 1, 4
21, 14, 20, 11
33, 20, 27, 26
19, 2, 26, 32
8, 15, 4, 6
35, 6, 11, 21
15, 29, 18, 9
36, 13, 28, 15
19, 35, 39, 5
17, 12, 24, 18
2, 29, 3, 25
35, 24, 29, 3
5, 22, 25, 9
10, 9, 2, 8
8, 19, 12, 10
21, 6, 31, 34
6, 29, 31, 15
31, 22, 24, 28
1, 22, 10, 29
12, 32, 24, 18
23, 39, 34, 10
24, 19, 29, 3
17, 35, 15, 33
15, 4, 24, 6
6, 16, 28, 10
15, 19, 17, 20
39, 9, 7, 12
21, 32, 7, 37
25, 8, 13, 26
30, 12, 24, 39
